family,generation,size,base_id,instruct_id,condition,n_items,n_decrease,n_increase,n_unchanged,mean_difference,sd_difference,cohens_d,n_base_stereo,n_instruct_stereo
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,without_template,1508,143,102,1263,-0.027188328912466843,0.4022871559996358,-0.06758438221798822,1029,988
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,with_template,1508,231,150,1127,-0.05371352785145889,0.4999331104853362,-0.10744142911301409,1029,948
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,without_template,1508,109,113,1286,0.002652519893899204,0.38380398765848045,0.0069111316692714786,1024,1028
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,with_template,1508,195,177,1136,-0.011936339522546418,0.4966945456961946,-0.0240315494220211,1024,1006
llama,Llama 3,8B,meta-llama/Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B-Instruct,without_template,1508,122,77,1309,-0.029840848806366047,0.36215930772200766,-0.08239702299539348,1026,981
llama,Llama 3,8B,meta-llama/Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B-Instruct,with_template,1508,221,150,1137,-0.047082228116710874,0.4939294132745618,-0.09532177443042687,1026,955
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,without_template,1508,130,76,1302,-0.03580901856763926,0.3679840820874901,-0.09731132489346504,1028,974
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,with_template,1508,208,150,1150,-0.038461538461538464,0.48587837039974974,-0.07915877883161328,1028,970
llama,Llama 3.2,1B,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,without_template,1508,185,90,1233,-0.0629973474801061,0.4225049733999637,-0.1491043927202953,986,891
llama,Llama 3.2,1B,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,with_template,1508,256,148,1104,-0.07161803713527852,0.5127862477603088,-0.13966450435846103,986,878
llama,Llama 3.2,3B,meta-llama/Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,without_template,1508,136,99,1273,-0.02453580901856764,0.39412757599807546,-0.062253469467174374,995,958
llama,Llama 3.2,3B,meta-llama/Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,with_template,1508,248,173,1087,-0.04973474801061008,0.5262012792302702,-0.09451658514278474,995,920
qwen,Qwen 2.5,0.5B,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,without_template,1508,117,115,1276,-0.001326259946949602,0.3923601424798891,-0.0033802106874746616,863,861
qwen,Qwen 2.5,0.5B,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,with_template,1508,167,148,1193,-0.012599469496021221,0.45701827109992116,-0.027568852916312638,863,844
qwen,Qwen 2.5,1.5B,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,without_template,1508,83,68,1357,-0.009946949602122016,0.3163859408077237,-0.03143929081275785,917,902
qwen,Qwen 2.5,1.5B,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,with_template,1508,166,199,1143,0.021883289124668436,0.49165420399891996,0.044509512878520015,917,950
qwen,Qwen 2.5,3B,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,without_template,1508,80,64,1364,-0.010610079575596816,0.3089359682302316,-0.03434394394533483,959,943
qwen,Qwen 2.5,3B,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,with_template,1508,251,200,1057,-0.033819628647214856,0.5460087423670086,-0.0619397200502743,959,908
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,without_template,1508,107,78,1323,-0.019230769230769232,0.3498433697232069,-0.054969654694283485,955,926
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,with_template,1508,269,199,1040,-0.046419098143236075,0.5553328737046841,-0.08358788096510365,955,885
